All Orders

Order ID: 100 | PC ID: 8 | Qty: 23 | Profit Rate: 66%  | PCCost: $2050.00 | Total Profit: $31119.00
Order ID: 124 | PC ID: 2 | Qty: 22 | Profit Rate: 47%  | PCCost: $2250.00 | Total Profit: $23265.00
Order ID: 125 | PC ID: 0 | Qty: 7 | Profit Rate: 73%  | PCCost: $2050.00 | Total Profit: $10475.50
Order ID: 126 | PC ID: 14 | Qty: 30 | Profit Rate: 68%  | PCCost: $2850.00 | Total Profit: $58140.00
Order ID: 127 | PC ID: 7 | Qty: 3 | Profit Rate: 66%  | PCCost: $3050.00 | Total Profit: $6039.00
Order ID: 128 | PC ID: 4 | Qty: 7 | Profit Rate: 73%  | PCCost: $2650.00 | Total Profit: $13541.50
Order ID: 129 | PC ID: 14 | Qty: 13 | Profit Rate: 61%  | PCCost: $2850.00 | Total Profit: $22600.50
Order ID: 130 | PC ID: 5 | Qty: 8 | Profit Rate: 54%  | PCCost: $2850.00 | Total Profit: $12312.00
Order ID: 131 | PC ID: 6 | Qty: 30 | Profit Rate: 70%  | PCCost: $2850.00 | Total Profit: $59850.00
Order ID: 132 | PC ID: 1 | Qty: 29 | Profit Rate: 68%  | PCCost: $2250.00 | Total Profit: $44370.00
Order ID: 133 | PC ID: 9 | Qty: 25 | Profit Rate: 70%  | PCCost: $2250.00 | Total Profit: $39375.00
Order ID: 134 | PC ID: 8 | Qty: 5 | Profit Rate: 51%  | PCCost: $2050.00 | Total Profit: $5227.50
Order ID: 135 | PC ID: 2 | Qty: 26 | Profit Rate: 71%  | PCCost: $2250.00 | Total Profit: $41535.00
Order ID: 136 | PC ID: 14 | Qty: 25 | Profit Rate: 69%  | PCCost: $2850.00 | Total Profit: $49162.50
Order ID: 137 | PC ID: 15 | Qty: 24 | Profit Rate: 75%  | PCCost: $3050.00 | Total Profit: $54900.00
Order ID: 138 | PC ID: 4 | Qty: 7 | Profit Rate: 65%  | PCCost: $2650.00 | Total Profit: $12057.50
Order ID: 139 | PC ID: 4 | Qty: 8 | Profit Rate: 58%  | PCCost: $2650.00 | Total Profit: $12296.00
Order ID: 140 | PC ID: 14 | Qty: 2 | Profit Rate: 54%  | PCCost: $2850.00 | Total Profit: $3078.00
Order ID: 141 | PC ID: 7 | Qty: 17 | Profit Rate: 73%  | PCCost: $3050.00 | Total Profit: $37850.50
Order ID: 142 | PC ID: 1 | Qty: 29 | Profit Rate: 69%  | PCCost: $2250.00 | Total Profit: $45022.50
Order ID: 143 | PC ID: 0 | Qty: 20 | Profit Rate: 49%  | PCCost: $2050.00 | Total Profit: $20090.00
Order ID: 144 | PC ID: 15 | Qty: 7 | Profit Rate: 53%  | PCCost: $3050.00 | Total Profit: $11315.50
Order ID: 145 | PC ID: 2 | Qty: 26 | Profit Rate: 64%  | PCCost: $2250.00 | Total Profit: $37440.00
Order ID: 146 | PC ID: 8 | Qty: 25 | Profit Rate: 47%  | PCCost: $2050.00 | Total Profit: $24087.50
Order ID: 147 | PC ID: 2 | Qty: 23 | Profit Rate: 73%  | PCCost: $2250.00 | Total Profit: $37777.50
Order ID: 148 | PC ID: 1 | Qty: 24 | Profit Rate: 75%  | PCCost: $2250.00 | Total Profit: $40500.00
Order ID: 149 | PC ID: 11 | Qty: 11 | Profit Rate: 75%  | PCCost: $2450.00 | Total Profit: $20212.50
Order ID: 150 | PC ID: 10 | Qty: 1 | Profit Rate: 65%  | PCCost: $2250.00 | Total Profit: $1462.50
Order ID: 151 | PC ID: 7 | Qty: 29 | Profit Rate: 58%  | PCCost: $3050.00 | Total Profit: $51301.00
Order ID: 152 | PC ID: 5 | Qty: 15 | Profit Rate: 52%  | PCCost: $2850.00 | Total Profit: $22230.00
Order ID: 153 | PC ID: 8 | Qty: 28 | Profit Rate: 49%  | PCCost: $2050.00 | Total Profit: $28126.00
Order ID: 154 | PC ID: 2 | Qty: 1 | Profit Rate: 52%  | PCCost: $2250.00 | Total Profit: $1170.00
Order ID: 155 | PC ID: 9 | Qty: 12 | Profit Rate: 72%  | PCCost: $2250.00 | Total Profit: $19440.00
Order ID: 156 | PC ID: 6 | Qty: 21 | Profit Rate: 58%  | PCCost: $2850.00 | Total Profit: $34713.00
Order ID: 157 | PC ID: 3 | Qty: 2 | Profit Rate: 73%  | PCCost: $2450.00 | Total Profit: $3577.00
Order ID: 158 | PC ID: 7 | Qty: 12 | Profit Rate: 67%  | PCCost: $3050.00 | Total Profit: $24522.00
Order ID: 159 | PC ID: 3 | Qty: 26 | Profit Rate: 56%  | PCCost: $2450.00 | Total Profit: $35672.00
Order ID: 160 | PC ID: 4 | Qty: 2 | Profit Rate: 64%  | PCCost: $2650.00 | Total Profit: $3392.00
Order ID: 161 | PC ID: 4 | Qty: 30 | Profit Rate: 62%  | PCCost: $2650.00 | Total Profit: $49290.00
Order ID: 162 | PC ID: 0 | Qty: 5 | Profit Rate: 46%  | PCCost: $2050.00 | Total Profit: $4715.00
Order ID: 163 | PC ID: 9 | Qty: 7 | Profit Rate: 63%  | PCCost: $2250.00 | Total Profit: $9922.50
Order ID: 164 | PC ID: 5 | Qty: 4 | Profit Rate: 61%  | PCCost: $2850.00 | Total Profit: $6954.00
Order ID: 165 | PC ID: 11 | Qty: 19 | Profit Rate: 45%  | PCCost: $2450.00 | Total Profit: $20947.50
Order ID: 166 | PC ID: 9 | Qty: 13 | Profit Rate: 64%  | PCCost: $2250.00 | Total Profit: $18720.00
Order ID: 167 | PC ID: 7 | Qty: 19 | Profit Rate: 63%  | PCCost: $3050.00 | Total Profit: $36508.50
Order ID: 168 | PC ID: 9 | Qty: 11 | Profit Rate: 72%  | PCCost: $2250.00 | Total Profit: $17820.00
Order ID: 169 | PC ID: 5 | Qty: 9 | Profit Rate: 75%  | PCCost: $2850.00 | Total Profit: $19237.50
Order ID: 170 | PC ID: 1 | Qty: 2 | Profit Rate: 55%  | PCCost: $2250.00 | Total Profit: $2475.00
Order ID: 171 | PC ID: 8 | Qty: 24 | Profit Rate: 75%  | PCCost: $2050.00 | Total Profit: $36900.00
Order ID: 172 | PC ID: 9 | Qty: 19 | Profit Rate: 61%  | PCCost: $2250.00 | Total Profit: $26077.50
Order ID: 173 | PC ID: 12 | Qty: 24 | Profit Rate: 68%  | PCCost: $2650.00 | Total Profit: $43248.00
Order ID: 174 | PC ID: 5 | Qty: 30 | Profit Rate: 74%  | PCCost: $2850.00 | Total Profit: $63270.00
Order ID: 175 | PC ID: 6 | Qty: 18 | Profit Rate: 45%  | PCCost: $2850.00 | Total Profit: $23085.00
Order ID: 176 | PC ID: 1 | Qty: 19 | Profit Rate: 75%  | PCCost: $2250.00 | Total Profit: $32062.50
Order ID: 177 | PC ID: 6 | Qty: 17 | Profit Rate: 58%  | PCCost: $2850.00 | Total Profit: $28101.00
Order ID: 178 | PC ID: 8 | Qty: 21 | Profit Rate: 54%  | PCCost: $2050.00 | Total Profit: $23247.00
Order ID: 179 | PC ID: 13 | Qty: 2 | Profit Rate: 62%  | PCCost: $2850.00 | Total Profit: $3534.00
Order ID: 180 | PC ID: 15 | Qty: 16 | Profit Rate: 52%  | PCCost: $3050.00 | Total Profit: $25376.00
Order ID: 181 | PC ID: 10 | Qty: 21 | Profit Rate: 69%  | PCCost: $2250.00 | Total Profit: $32602.50
Order ID: 182 | PC ID: 10 | Qty: 29 | Profit Rate: 49%  | PCCost: $2250.00 | Total Profit: $31972.50
Order ID: 183 | PC ID: 4 | Qty: 9 | Profit Rate: 55%  | PCCost: $2650.00 | Total Profit: $13117.50
Order ID: 184 | PC ID: 2 | Qty: 3 | Profit Rate: 54%  | PCCost: $2250.00 | Total Profit: $3645.00
Order ID: 185 | PC ID: 1 | Qty: 9 | Profit Rate: 57%  | PCCost: $2250.00 | Total Profit: $11542.50
Order ID: 186 | PC ID: 5 | Qty: 9 | Profit Rate: 56%  | PCCost: $2850.00 | Total Profit: $14364.00
Order ID: 187 | PC ID: 11 | Qty: 22 | Profit Rate: 57%  | PCCost: $2450.00 | Total Profit: $30723.00
Order ID: 188 | PC ID: 12 | Qty: 5 | Profit Rate: 56%  | PCCost: $2650.00 | Total Profit: $7420.00
Order ID: 189 | PC ID: 0 | Qty: 19 | Profit Rate: 73%  | PCCost: $2050.00 | Total Profit: $28433.50
Order ID: 190 | PC ID: 0 | Qty: 21 | Profit Rate: 61%  | PCCost: $2050.00 | Total Profit: $26260.50
Order ID: 191 | PC ID: 5 | Qty: 26 | Profit Rate: 50%  | PCCost: $2850.00 | Total Profit: $37050.00
Order ID: 192 | PC ID: 10 | Qty: 2 | Profit Rate: 70%  | PCCost: $2250.00 | Total Profit: $3150.00
Order ID: 193 | PC ID: 15 | Qty: 30 | Profit Rate: 75%  | PCCost: $3050.00 | Total Profit: $68625.00
Order ID: 194 | PC ID: 10 | Qty: 24 | Profit Rate: 61%  | PCCost: $2250.00 | Total Profit: $32940.00
Order ID: 195 | PC ID: 8 | Qty: 26 | Profit Rate: 56%  | PCCost: $2050.00 | Total Profit: $29848.00
Order ID: 196 | PC ID: 3 | Qty: 29 | Profit Rate: 45%  | PCCost: $2450.00 | Total Profit: $31972.50
Order ID: 197 | PC ID: 10 | Qty: 2 | Profit Rate: 49%  | PCCost: $2250.00 | Total Profit: $2205.00
Order ID: 198 | PC ID: 8 | Qty: 4 | Profit Rate: 71%  | PCCost: $2050.00 | Total Profit: $5822.00
Order ID: 199 | PC ID: 2 | Qty: 15 | Profit Rate: 71%  | PCCost: $2250.00 | Total Profit: $23962.50
Order ID: 200 | PC ID: 15 | Qty: 19 | Profit Rate: 47%  | PCCost: $3050.00 | Total Profit: $27236.50
Order ID: 201 | PC ID: 3 | Qty: 21 | Profit Rate: 65%  | PCCost: $2450.00 | Total Profit: $33442.50
Order ID: 202 | PC ID: 2 | Qty: 23 | Profit Rate: 60%  | PCCost: $2250.00 | Total Profit: $31050.00
Order ID: 203 | PC ID: 3 | Qty: 14 | Profit Rate: 48%  | PCCost: $2450.00 | Total Profit: $16464.00
Order ID: 204 | PC ID: 13 | Qty: 29 | Profit Rate: 60%  | PCCost: $2850.00 | Total Profit: $49590.00
Order ID: 205 | PC ID: 8 | Qty: 24 | Profit Rate: 46%  | PCCost: $2050.00 | Total Profit: $22632.00
Order ID: 206 | PC ID: 3 | Qty: 18 | Profit Rate: 75%  | PCCost: $2450.00 | Total Profit: $33075.00
Order ID: 207 | PC ID: 12 | Qty: 23 | Profit Rate: 61%  | PCCost: $2650.00 | Total Profit: $37179.50
Order ID: 208 | PC ID: 3 | Qty: 23 | Profit Rate: 45%  | PCCost: $2450.00 | Total Profit: $25357.50
Order ID: 209 | PC ID: 13 | Qty: 28 | Profit Rate: 55%  | PCCost: $2850.00 | Total Profit: $43890.00
Order ID: 210 | PC ID: 8 | Qty: 26 | Profit Rate: 74%  | PCCost: $2050.00 | Total Profit: $39442.00
Order ID: 211 | PC ID: 15 | Qty: 14 | Profit Rate: 49%  | PCCost: $3050.00 | Total Profit: $20923.00
Order ID: 212 | PC ID: 10 | Qty: 12 | Profit Rate: 67%  | PCCost: $2250.00 | Total Profit: $18090.00
Order ID: 213 | PC ID: 14 | Qty: 18 | Profit Rate: 46%  | PCCost: $2850.00 | Total Profit: $23598.00
Order ID: 214 | PC ID: 3 | Qty: 19 | Profit Rate: 62%  | PCCost: $2450.00 | Total Profit: $28861.00
Order ID: 215 | PC ID: 9 | Qty: 17 | Profit Rate: 46%  | PCCost: $2250.00 | Total Profit: $17595.00
Order ID: 216 | PC ID: 10 | Qty: 7 | Profit Rate: 67%  | PCCost: $2250.00 | Total Profit: $10552.50
Order ID: 217 | PC ID: 3 | Qty: 17 | Profit Rate: 67%  | PCCost: $2450.00 | Total Profit: $27905.50
Order ID: 218 | PC ID: 6 | Qty: 28 | Profit Rate: 50%  | PCCost: $2850.00 | Total Profit: $39900.00
Order ID: 219 | PC ID: 7 | Qty: 20 | Profit Rate: 59%  | PCCost: $3050.00 | Total Profit: $35990.00
Order ID: 220 | PC ID: 6 | Qty: 9 | Profit Rate: 68%  | PCCost: $2850.00 | Total Profit: $17442.00
Order ID: 221 | PC ID: 9 | Qty: 5 | Profit Rate: 67%  | PCCost: $2250.00 | Total Profit: $7537.50
Order ID: 222 | PC ID: 10 | Qty: 12 | Profit Rate: 70%  | PCCost: $2250.00 | Total Profit: $18900.00
Order ID: 223 | PC ID: 14 | Qty: 3 | Profit Rate: 70%  | PCCost: $2850.00 | Total Profit: $5985.00
Order ID: 224 | PC ID: 14 | Qty: 21 | Profit Rate: 48%  | PCCost: $2850.00 | Total Profit: $28728.00
Order ID: 225 | PC ID: 2 | Qty: 17 | Profit Rate: 62%  | PCCost: $2250.00 | Total Profit: $23715.00
Order ID: 226 | PC ID: 7 | Qty: 24 | Profit Rate: 68%  | PCCost: $3050.00 | Total Profit: $49776.00
Order ID: 227 | PC ID: 0 | Qty: 17 | Profit Rate: 56%  | PCCost: $2050.00 | Total Profit: $19516.00
Order ID: 228 | PC ID: 9 | Qty: 2 | Profit Rate: 64%  | PCCost: $2250.00 | Total Profit: $2880.00
Order ID: 229 | PC ID: 11 | Qty: 16 | Profit Rate: 67%  | PCCost: $2450.00 | Total Profit: $26264.00
Order ID: 230 | PC ID: 7 | Qty: 2 | Profit Rate: 62%  | PCCost: $3050.00 | Total Profit: $3782.00
Order ID: 231 | PC ID: 10 | Qty: 19 | Profit Rate: 65%  | PCCost: $2250.00 | Total Profit: $27787.50
Order ID: 232 | PC ID: 10 | Qty: 18 | Profit Rate: 46%  | PCCost: $2250.00 | Total Profit: $18630.00
Order ID: 233 | PC ID: 3 | Qty: 18 | Profit Rate: 61%  | PCCost: $2450.00 | Total Profit: $26901.00
Order ID: 234 | PC ID: 11 | Qty: 8 | Profit Rate: 52%  | PCCost: $2450.00 | Total Profit: $10192.00
Order ID: 235 | PC ID: 5 | Qty: 25 | Profit Rate: 59%  | PCCost: $2850.00 | Total Profit: $42037.50
Order ID: 236 | PC ID: 11 | Qty: 1 | Profit Rate: 62%  | PCCost: $2450.00 | Total Profit: $1519.00
Order ID: 237 | PC ID: 11 | Qty: 29 | Profit Rate: 50%  | PCCost: $2450.00 | Total Profit: $35525.00
Order ID: 238 | PC ID: 9 | Qty: 26 | Profit Rate: 56%  | PCCost: $2250.00 | Total Profit: $32760.00
Order ID: 239 | PC ID: 3 | Qty: 9 | Profit Rate: 54%  | PCCost: $2450.00 | Total Profit: $11907.00
Order ID: 240 | PC ID: 5 | Qty: 13 | Profit Rate: 45%  | PCCost: $2850.00 | Total Profit: $16672.50
Order ID: 241 | PC ID: 7 | Qty: 3 | Profit Rate: 75%  | PCCost: $3050.00 | Total Profit: $6862.50
Order ID: 242 | PC ID: 5 | Qty: 19 | Profit Rate: 47%  | PCCost: $2850.00 | Total Profit: $25450.50
Order ID: 243 | PC ID: 12 | Qty: 27 | Profit Rate: 74%  | PCCost: $2650.00 | Total Profit: $52947.00
Order ID: 244 | PC ID: 8 | Qty: 28 | Profit Rate: 50%  | PCCost: $2050.00 | Total Profit: $28700.00
Order ID: 245 | PC ID: 15 | Qty: 9 | Profit Rate: 66%  | PCCost: $3050.00 | Total Profit: $18117.00
Order ID: 246 | PC ID: 7 | Qty: 24 | Profit Rate: 69%  | PCCost: $3050.00 | Total Profit: $50508.00
Order ID: 247 | PC ID: 0 | Qty: 27 | Profit Rate: 68%  | PCCost: $2050.00 | Total Profit: $37638.00
Order ID: 248 | PC ID: 13 | Qty: 28 | Profit Rate: 46%  | PCCost: $2850.00 | Total Profit: $36708.00
Order ID: 249 | PC ID: 10 | Qty: 30 | Profit Rate: 72%  | PCCost: $2250.00 | Total Profit: $48600.00
Order ID: 250 | PC ID: 10 | Qty: 24 | Profit Rate: 49%  | PCCost: $2250.00 | Total Profit: $26460.00
Order ID: 251 | PC ID: 13 | Qty: 1 | Profit Rate: 69%  | PCCost: $2850.00 | Total Profit: $1966.50
Order ID: 252 | PC ID: 15 | Qty: 3 | Profit Rate: 73%  | PCCost: $3050.00 | Total Profit: $6679.50
Order ID: 253 | PC ID: 3 | Qty: 24 | Profit Rate: 65%  | PCCost: $2450.00 | Total Profit: $38220.00
Order ID: 254 | PC ID: 5 | Qty: 25 | Profit Rate: 50%  | PCCost: $2850.00 | Total Profit: $35625.00
Order ID: 255 | PC ID: 15 | Qty: 12 | Profit Rate: 45%  | PCCost: $3050.00 | Total Profit: $16470.00
Order ID: 256 | PC ID: 13 | Qty: 9 | Profit Rate: 51%  | PCCost: $2850.00 | Total Profit: $13081.50
Order ID: 257 | PC ID: 11 | Qty: 23 | Profit Rate: 66%  | PCCost: $2450.00 | Total Profit: $37191.00
Order ID: 258 | PC ID: 9 | Qty: 30 | Profit Rate: 53%  | PCCost: $2250.00 | Total Profit: $35775.00
Order ID: 259 | PC ID: 9 | Qty: 19 | Profit Rate: 74%  | PCCost: $2250.00 | Total Profit: $31635.00
Order ID: 260 | PC ID: 1 | Qty: 3 | Profit Rate: 55%  | PCCost: $2250.00 | Total Profit: $3712.50
Order ID: 261 | PC ID: 0 | Qty: 21 | Profit Rate: 62%  | PCCost: $2050.00 | Total Profit: $26691.00
Order ID: 262 | PC ID: 5 | Qty: 24 | Profit Rate: 59%  | PCCost: $2850.00 | Total Profit: $40356.00
Order ID: 263 | PC ID: 1 | Qty: 21 | Profit Rate: 74%  | PCCost: $2250.00 | Total Profit: $34965.00
Order ID: 264 | PC ID: 9 | Qty: 15 | Profit Rate: 66%  | PCCost: $2250.00 | Total Profit: $22275.00
Order ID: 265 | PC ID: 1 | Qty: 28 | Profit Rate: 47%  | PCCost: $2250.00 | Total Profit: $29610.00
Order ID: 266 | PC ID: 9 | Qty: 16 | Profit Rate: 50%  | PCCost: $2250.00 | Total Profit: $18000.00
Order ID: 267 | PC ID: 10 | Qty: 30 | Profit Rate: 65%  | PCCost: $2250.00 | Total Profit: $43875.00
Order ID: 268 | PC ID: 7 | Qty: 4 | Profit Rate: 54%  | PCCost: $3050.00 | Total Profit: $6588.00
Order ID: 269 | PC ID: 14 | Qty: 3 | Profit Rate: 54%  | PCCost: $2850.00 | Total Profit: $4617.00
Order ID: 270 | PC ID: 11 | Qty: 22 | Profit Rate: 49%  | PCCost: $2450.00 | Total Profit: $26411.00
Order ID: 271 | PC ID: 6 | Qty: 29 | Profit Rate: 74%  | PCCost: $2850.00 | Total Profit: $61161.00
Order ID: 272 | PC ID: 11 | Qty: 25 | Profit Rate: 47%  | PCCost: $2450.00 | Total Profit: $28787.50
Order ID: 273 | PC ID: 6 | Qty: 25 | Profit Rate: 49%  | PCCost: $2850.00 | Total Profit: $34912.50
Order ID: 274 | PC ID: 7 | Qty: 4 | Profit Rate: 61%  | PCCost: $3050.00 | Total Profit: $7442.00
Order ID: 275 | PC ID: 4 | Qty: 21 | Profit Rate: 50%  | PCCost: $2650.00 | Total Profit: $27825.00
Order ID: 276 | PC ID: 12 | Qty: 5 | Profit Rate: 69%  | PCCost: $2650.00 | Total Profit: $9142.50
Order ID: 277 | PC ID: 1 | Qty: 19 | Profit Rate: 57%  | PCCost: $2250.00 | Total Profit: $24367.50
Order ID: 278 | PC ID: 13 | Qty: 19 | Profit Rate: 57%  | PCCost: $2850.00 | Total Profit: $30865.50
Order ID: 279 | PC ID: 1 | Qty: 17 | Profit Rate: 70%  | PCCost: $2250.00 | Total Profit: $26775.00
Order ID: 280 | PC ID: 5 | Qty: 30 | Profit Rate: 60%  | PCCost: $2850.00 | Total Profit: $51300.00
Order ID: 281 | PC ID: 13 | Qty: 16 | Profit Rate: 66%  | PCCost: $2850.00 | Total Profit: $30096.00
Order ID: 282 | PC ID: 6 | Qty: 19 | Profit Rate: 60%  | PCCost: $2850.00 | Total Profit: $32490.00
Order ID: 283 | PC ID: 0 | Qty: 8 | Profit Rate: 58%  | PCCost: $2050.00 | Total Profit: $9512.00
Order ID: 284 | PC ID: 10 | Qty: 23 | Profit Rate: 70%  | PCCost: $2250.00 | Total Profit: $36225.00
Order ID: 285 | PC ID: 9 | Qty: 24 | Profit Rate: 63%  | PCCost: $2250.00 | Total Profit: $34020.00
Order ID: 286 | PC ID: 4 | Qty: 19 | Profit Rate: 62%  | PCCost: $2650.00 | Total Profit: $31217.00
Order ID: 287 | PC ID: 11 | Qty: 2 | Profit Rate: 67%  | PCCost: $2450.00 | Total Profit: $3283.00
Order ID: 288 | PC ID: 6 | Qty: 17 | Profit Rate: 50%  | PCCost: $2850.00 | Total Profit: $24225.00
Order ID: 289 | PC ID: 9 | Qty: 25 | Profit Rate: 56%  | PCCost: $2250.00 | Total Profit: $31500.00
Order ID: 290 | PC ID: 8 | Qty: 18 | Profit Rate: 66%  | PCCost: $2050.00 | Total Profit: $24354.00
Order ID: 291 | PC ID: 9 | Qty: 28 | Profit Rate: 63%  | PCCost: $2250.00 | Total Profit: $39690.00
Order ID: 292 | PC ID: 10 | Qty: 2 | Profit Rate: 47%  | PCCost: $2250.00 | Total Profit: $2115.00
Order ID: 293 | PC ID: 9 | Qty: 12 | Profit Rate: 66%  | PCCost: $2250.00 | Total Profit: $17820.00
